id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
74,Nocturne Sketch,Clara Voss,classical,melancholic,0.19,64,0.42,0.09,0.99
75,Cabin Strings,Fern & Stone,folk,peaceful,0.29,72,0.69,0.32,0.98
76,Dusty Vinyl,Earl Hollow,blues,reflective,0.41,68,0.38,0.40,0.90
77,Deep Bass Drop,Pulse Engine,edm,hype,0.99,150,0.78,0.97,0.01
78,Midnight Trapline,Apex,trap,tense,0.82,146,0.34,0.86,0.06
79,Lo-Fi Lanterns,Paper Lanterns,lofi,chill,0.30,70,0.61,0.49,0.92
80,Focus Beacon,LoRoom,lofi,focused,0.37,82,0.56,0.55,0.76
81,Neon Boulevard,Neon Echo,synthwave,moody,0.73,108,0.48,0.75,0.16
82,Roadtrip Chorus,June Carter Blue,country,carefree,0.62,108,0.85,0.69,0.66
83,Romance in Rain,Velvet Tone,r&b,romantic,0.47,80,0.77,0.65,0.50
84,Island Haze,The Drifters,reggae,nostalgic,0.44,82,0.75,0.66,0.68
85,Loft Party,Cobalt Crew,hip-hop,playful,0.79,102,0.82,0.93,0.05
86,Rock the Hills,Voltline,rock,angry,0.90,168,0.39,0.60,0.07
87,Techno Tunnel,Apex,techno,intense,0.92,138,0.35,0.86,0.03
88,House of Smiles,Pulse Engine,house,happy,0.77,126,0.90,0.92,0.07
89,Synth Stardust,Neon Echo,synthwave,dreamy,0.68,114,0.72,0.79,0.20
90,Ambient Horizon,Orbit Bloom,ambient,reflective,0.27,52,0.58,0.22,0.96
91,Classical Sunrise,Clara Voss,classical,peaceful,0.21,68,0.76,0.15,0.98
92,Bluesy Goodbye,Earl Hollow,blues,melancholic,0.38,66,0.28,0.35,0.92
93,Folk Remedy,Fern & Stone,folk,reflective,0.33,80,0.71,0.37,0.95
94,Country Moon,June Carter Blue,country,nostalgic,0.52,102,0.78,0.62,0.81
95,R&B Afterglow,Velvet Tone,r&b,romantic,0.50,88,0.74,0.70,0.42
96,Reggae Sunset,The Drifters,reggae,carefree,0.58,92,0.86,0.76,0.57
97,Metal Breaker,Deadfall,metal,intense,0.95,184,0.22,0.53,0.03
98,Punk Parade,Static Youth,punk,hype,0.88,182,0.61,0.73,0.11
99,Soulful Steps,Velvet Tone,soul,relaxed,0.55,84,0.79,0.62,0.60
100,Disco Fever,Mirrorball Club,disco,playful,0.86,124,0.93,0.96,0.08
101,Funkadelic Avenue,Brass Avenue,funk,happy,0.74,108,0.87,0.88,0.30
102,Afrobeat Night,Kofi Lights,afrobeat,hype,0.83,110,0.84,0.95,0.18
103,Latin Lights,Luna Roja,latin,romantic,0.70,96,0.82,0.92,0.26
104,K-Pop Spark,Neon Echo,k-pop,happy,0.84,128,0.94,0.91,0.05
105,Reflective Rap,Cobalt Crew,hip-hop,reflective,0.60,88,0.46,0.75,0.20
106,Drum & Bass Chase,Pulse Engine,drum&bass,intense,0.93,174,0.58,0.89,0.04
107,Techno Afterparty,Apex,techno,hype,0.94,142,0.42,0.90,0.02
108,House Chillout,Pulse Engine,house,relaxed,0.62,118,0.80,0.86,0.10
109,Ambient Study,Orbit Bloom,ambient,focused,0.23,54,0.61,0.18,0.97
110,Classical Drift,Clara Voss,classical,serene,0.17,58,0.72,0.11,0.99
111,Indie Lullaby,Indigo Parade,indie pop,peaceful,0.40,92,0.75,0.58,0.70
112,Pop Confetti,Neon Echo,pop,playful,0.79,130,0.91,0.90,0.09
113,Rock Reflection,Voltline,rock,reflective,0.58,132,0.52,0.55,0.18
114,Jazz Blue Hour,Slow Stereo,jazz,melancholic,0.43,82,0.41,0.46,0.84
115,Blues Porchlight,Earl Hollow,blues,nostalgic,0.47,76,0.44,0.48,0.87
116,Folk Daybreak,Fern & Stone,folk,happy,0.45,88,0.82,0.42,0.93
117,Country Highway,June Carter Blue,country,carefree,0.64,112,0.86,0.68,0.60
118,R&B Moonlight,Velvet Tone,r&b,moody,0.49,78,0.60,0.64,0.47
119,Reggae Rain,The Drifters,reggae,relaxed,0.46,84,0.78,0.69,0.65
120,Experimental Sky,Orbit Bloom,experimental,dreamy,0.52,96,0.63,0.40,0.54
